sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
西屯,臺中市,78,細懸浮微粒,普通,0.7,0.19,56.8,35.9,46,21,5.7,6.8,1.1,2.6,341,"2023/03/17 14:00:00",0.3,26,51,0,120.616917,24.162197,32
彰化,彰化縣,92,細懸浮微粒,普通,2.7,0.28,50.4,28.5,64,29,10.5,13.3,2.8,2.6,354,"2023/03/17 14:00:00",0.4,32,69,1,120.541519,24.066,33
線西,彰化縣,77,細懸浮微粒,普通,1.2,0.16,50.5,29.6,43,25,4,5.7,1.6,4.4,1,"2023/03/17 14:00:00",0.2,26,53,2,120.469061,24.131672,34
二林,彰化縣,84,細懸浮微粒,普通,1.7,0.2,56.1,36.8,54,26,3.1,3,0,3.1,331,"2023/03/17 14:00:00",0.2,29,66,1,120.409653,23.925175,35
南投,南投縣,86,細懸浮微粒,普通,2.9,0.28,62,39.9,50,25,10,11.5,1.4,2.6,339,"2023/03/17 14:00:00",0.3,29,56,1,120.685306,23.913,36
斗六,雲林縣,110,細懸浮微粒,對敏感族群不健康,1.8,0.24,65.7,42.5,61,28,6.2,7.4,1.1,3.6,327,"2023/03/17 14:00:00",0.3,39,72,1,120.544994,23.711853,37
崙背,雲林縣,92,細懸浮微粒,普通,1.3,0.19,55.8,35.2,45,23,2.5,3.2,0.6,2.6,322,"2023/03/17 14:00:00",0.2,32,61,1,120.348742,23.757547,38
新港,嘉義縣,88,細懸浮微粒,普通,1.5,0.2,63.3,40.6,65,28,2.5,3.5,0.9,3.2,326,"2023/03/17 14:00:00",0.2,30,69,1,120.345531,23.554839,39
朴子,嘉義縣,76,細懸浮微粒,普通,1.7,0.21,63.8,39.8,49,19,4.2,4.1,0,2.9,330,"2023/03/17 14:00:00",0.2,25,53,1,120.2478,23.46538,40
臺西,雲林縣,60,細懸浮微粒,普通,3.4,0.19,50.7,42.3,36,19,8.2,10.2,1.9,3.6,342,"2023/03/17 14:00:00",0.1,19,43,1,120.19933333,23.702175,41
嘉義,嘉義市,111,細懸浮微粒,對敏感族群不健康,2,0.25,67,42.9,61,36,4.8,5.4,0.6,3.6,343,"2023/03/17 14:00:00",0.3,39,69,1,120.44125148,23.46477865,42
新營,臺南市,90,細懸浮微粒,普通,1.4,0.24,60.8,38.4,65,25,6.7,8,1.3,2.9,325,"2023/03/17 14:00:00",0.3,31,70,1,120.31725,23.305633,43
善化,臺南市,75,細懸浮微粒,普通,1.9,0.19,63.2,40.2,45,15,4.6,7.1,2.5,4.4,339,"2023/03/17 14:00:00",0.2,25,53,1,120.29740529,23.11337642,44
安南,臺南市,85,細懸浮微粒,普通,1.6,0.23,58.4,39.6,46,22,4.2,5.3,1.1,4.9,316,"2023/03/17 14:00:00",0.3,29,62,1,120.2175,23.048197,45
臺南,臺南市,79,細懸浮微粒,普通,,,47.8,33.3,,18,,,,1.1,275,"2023/03/17 14:00:00",0.3,26,52,0,120.22085,22.99123,46
